table_name,column_name,data_type
ACCOUNT_EXPLORATION_ALH_account_filtered,person_email,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_email_bounced_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,person_email_bounced_reason,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_has_opted_out_of_email,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,person_home_phone,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_last_curequest_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,person_last_cuupdate_date,TIMESTAMP
ACCOUNT_EXPLORATION_ALH_account_filtered,person_lead_source,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_city,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_country,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_country_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_geocode_accuracy,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_latitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_longitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_postal_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_state,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_state_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mailing_street,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_mobile_phone,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_city,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_country,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_country_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_geocode_accuracy,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_latitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_longitude,FLOAT64
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_phone,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_postal_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_state,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_state_code,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_other_street,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,person_title,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,phone,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,photo_url,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,pick_up_at_store_active_c,BOOL
ACCOUNT_EXPLORATION_ALH_account_filtered,pickup_option_c,STRING
ACCOUNT_EXPLORATION_ALH_account_filtered,pos_concept_age_c,STRING
